,股票简称,所属同花顺行业,最新涨跌幅,所属概念
0,铖昌科技,国防军工-国防军工-军工电子,9.997,核准制次新股;专精特新;军工;氮化镓;芯片概念;新股与次新股;集成电路概念;共同富裕示范区;第三代半导体;雷达;军民融合;卫星导航;国产替代;射频器;砷化镓;杭州湾大湾区;芯片设计;5G;遥感技术;基站射频;融资融券;转融券标的
1,朗博科技,交运设备-汽车零部件-汽车零部件Ⅲ,9.993,橡胶;新能源汽车
2,华电重工,建筑装饰-建筑装饰-专业工程,8.974,高端装备;海上风电;一带一路;核电;风电;国产替代;氢能源;超超临界发电;机器人概念;燃料电池;质子交换膜;融资融券;转融券标的;地方国企改革;央企国企改革;国企改革
3,劲仔食品,食品饮料-食品加工制造-休闲食品,8.862,休闲零食;抖音小店;一带一路;电子商务;社区团购;网络直播
4,岳阳林纸,轻工制造-造纸-造纸Ⅲ,8.532,造纸转暖;诚通系;雄安新区;人民币升值;纸浆;工业大麻;融资融券;转融券标的;碳中和;以纸代塑概念;污水处理;林场改革;园林开发;碳交易;PPP概念;地方国企改革;央企国企改革;国企改革;年报预增
5,钢研纳克,社会服务-其他社会服务-专业服务,8.353,食品安全;职业教育;稀土永磁;新能源汽车;大飞机;一带一路;地方国企改革;央企国企改革;国企改革
6,佳缘科技,计算机-计算机设备-计算机设备Ⅲ,7.970,网络安全;芯片概念;军工;智慧政务;国产软件;数字中国;DRG/DIP;数据中心;汽车芯片;数据安全;融资融券;智能医疗;数字经济;智能交通;转融券标的
7,西藏药业,医药生物-中药-中药Ⅲ,7.702,小额贷款;抗癌;中医药;医保目录;冬虫夏草;人脑工程;生物医药;医疗器械概念;生物疫苗;MSCI概念;沪股通;富时罗素概念;融资融券;转融券标的;年报预增
8,东土科技,通信-通信设备-其他通信设备,7.398,雄安新区;工业4.0;工控信息安全;军民融合;宽带中国;国产替代;芯片设计;5G;智能电网;物联网应用层;智能交通;大数据;物联网;边缘计算;融资融券;转融券标的;汽车电子;EDA;无人机;芯片概念;智慧城市;数据中心;军工;国产操作系统;工业互联网;工业母机;智能制造;汽车芯片;机器视觉;机器人概念;虚拟电厂;风电;华为概念;信创;年报预增
9,南化股份,有色金属-小金属-其他小金属,7.067,小金属概念;摘帽;地方国企改革;国企改革
10,博汇股份,石油石化-石油加工贸易-石油加工,7.008,新材料概念;锂电原料;氢能源;专精特新;高送转预期;年报预增
11,羚锐制药,医药生物-中药-中药Ⅲ,6.913,医疗改革;中医药;融资融券;沪股通;转融券标的;芬太尼;标普道琼斯A股;养老金持股
12,中国卫通,国防军工-国防军工-航天装备,6.409,一带一路;军工;富时罗素概念;融资融券;转融券标的;富时罗素概念股;冬奥会;地方国企改革;央企国企改革;中字头股票;国企改革
13,威孚高科,交运设备-汽车零部件-汽车零部件Ⅲ,5.982,油品升级;节能减排;废气处理;尾气治理;PM2.5;融资融券;深股通;转融券标的;电机电控;节能环保;国六标准、国六排放、国六;集成电路概念;燃料电池;富时罗素概念;富时罗素概念股;参股券商;标普道琼斯A股;新能源汽车;芯片概念;氢能源;MSCI概念;汽车热管理;汽车芯片;养老金持股;地方国企改革;国企改革;江苏国企改革;毫米波雷达
14,南京聚隆,基础化工-化工合成材料-改性塑料,5.758,消防装备;聚丙烯;新能源汽车;充电桩;锦纶;高铁;轨道交通;创业板重组松绑;5G;特斯拉;口罩;可降解塑料;比亚迪概念;汽车热管理;毫米波雷达
15,金冠电气,电力设备-电力设备-输变电设备,5.683,特高压;柔性直流输电;融资融券;转融券标的;充电桩;储能
16,恒林股份,轻工制造-家用轻工-家具,5.667,小米概念;人民币贬值受益;精装修;跨境电商
17,报喜鸟,纺织服装-服装家纺-服装,5.241,大数据;融资融券;转融券标的;创投;C2M概念;电子商务
18,潮宏基,轻工制造-家用轻工-饰品,4.718,奢侈品;黄金概念;小金属概念;网络直播;新零售;电子商务;迪士尼;培育钻石;NFT概念
19,金牌厨柜,轻工制造-家用轻工-家具,4.677,沪股通;精装修;标普道琼斯A股
20,海德股份,非银金融-保险及其他-多元金融,4.417,金改;三沙;土地增值;海南自贸区;深股通;储能;钒电池;债转股(AMC概念);海南旅游岛;金融科技;融资融券;转融券标的;年报预增
21,海信家电,家用电器-白色家电-空调,4.214,电子商务;融资融券;深股通;转融券标的;家用电器;富时罗素概念;富时罗素概念股;新能源汽车;标普道琼斯A股;汽车热管理;空气能热泵;世界杯;养老金持股;平安资管持股
22,华光环能,环保-环保-固废治理,4.033,金改;参股新三板;分布式发电;地热能;污水处理;脱硫脱硝;固废处理;节能环保;信托概念;一带一路;垃圾分类;参股券商;碳中和;光伏概念;土壤修复;PPP概念;碳交易;绿色电力;节能减排;分拆上市意愿;硅能源;债转股(AMC概念);光伏建筑一体化;建筑节能;生物质能发电;废气处理;农村环境治理;基建工程;危废处理;余热发电;乡村振兴;融资融券;氢能源;转融券标的;地方国企改革;国企改革
23,箭牌家居,轻工制造-家用轻工-其他家用轻工,4.019,智能家居;核准制次新股;新股与次新股;抖音概念;电子商务;新零售;网络直播;节能环保;华为概念
24,百亚股份,美容护理-美容护理-个护用品,3.920,电子商务;三胎概念;平安资管持股
25,普门科技,医药生物-医疗器械-体外诊断,3.801,医疗器械概念;融资融券;转融券标的;体外诊断;医美概念;新冠检测;猴痘概念;养老金持股;抗原检测
26,甘源食品,食品饮料-食品加工制造-休闲食品,3.798,大消费;社区团购;休闲零食;抖音小店;新零售;电子商务;网络直播
27,博彦科技,计算机-计算机应用-IT服务,3.686,创投;机器学习;人工智能;大数据;互联网金融;云计算;腾讯概念;金融科技;数字货币;抖音概念;深股通;网络安全;信创;ChatGPT概念
28,苏文电能,建筑装饰-建筑装饰-基础建设,3.470,智能电网;能源互联网;充电桩;工业互联网;光伏概念;融资融券;储能;转融券标的;深股通
29,新乳业,食品饮料-食品加工制造-乳品,3.263,深股通;新零售;乳业;融资融券;转融券标的
30,马应龙,医药生物-中药-中药Ⅲ,3.098,医疗改革;老字号;融资融券;医药电商;沪股通;中医药;转融券标的;医保目录;基因测序;民营医院;仿制药一致性评价;化妆护肤品;富时罗素概念;富时罗素概念股;标普道琼斯A股;眼科医疗
31,春立医疗,医药生物-医疗器械-医疗耗材,3.093,医疗器械概念;沪股通;融资融券;转融券标的;专精特新;牙科医疗
32,博济医药,医药生物-医疗服务-医疗研发外包,2.905,健康中国;CRO概念;幽门螺杆菌概念;中医药;新冠检测;新冠治疗;肝炎概念;创新药
33,百润股份,食品饮料-饮料制造-其他酒类,2.661,电子商务;调味品;深股通;鸡尾酒;融资融券;转融券标的;富时罗素概念;富时罗素概念股;MSCI概念;标普道琼斯A股;新零售;抖音小店;超级品牌;长三角一体化
34,昂利康,医药生物-化学制药-化学制剂,2.597,仿制药一致性评价;幽门螺杆菌概念;共同富裕示范区;高血压药
35,喜临门,轻工制造-家用轻工-家具,2.501,沪股通;智能家居;电子商务;标普道琼斯A股;融资融券;转融券标的
36,川仪股份,机械设备-仪器仪表-仪器仪表Ⅲ,2.432,核电;高端装备;物联网感知层;物联网;工业互联网;碳中和;国产替代;融资融券;转融券标的;地方国企改革;国企改革;重庆国企改革
37,安徽合力,机械设备-专用设备-工程机械,2.321,高端装备;融资融券;转融券标的;地方国企改革;安徽国企改革;国企改革
38,震有科技,通信-通信设备-其他通信设备,15.947,融资融券;转融券标的;智慧城市;5G;军工;卫星导航
39,华自科技,电力设备-电力设备-电气自控设备,11.761,污水处理;工业4.0;膜材料;军工;锂电设备;垃圾分类;华为概念;虚拟现实;航空发动机;工业互联网;充电桩;光伏概念;水利;一带一路;碳中和;储能;光伏建筑一体化;宁德时代概念;锂电池;华为鲲鹏;碳交易
40,云赛智联,计算机-计算机应用-软件开发,10.051,云计算;安防;老八股;PPP概念;智慧城市;国产软件;融资融券;军工;转融券标的;食品安全;智慧政务;数据中心;疫情监测;雷达;信创;上海国企改革;地方国企改革;国企改革;国资云;数字经济
41,三变科技,电力设备-电力设备-输变电设备,10.030,智能电网;小额贷款;储能;光伏概念;风电;专精特新;融资融券;转融券标的;地方国企改革;国企改革;共同富裕示范区;年报预增
42,中国卫星,国防军工-国防军工-航天装备,10.012,一带一路;国产替代;卫星导航;遥感技术;月球车;融资融券;阅兵;嫦娥概念;军民融合;航空航天;高端装备;大飞机;航天系;转融券标的;国产航母;无人机;军工;富时罗素概念;富时罗素概念股;芯片概念;标普道琼斯A股;太空经济;MSCI概念;证金持股;地方国企改革;央企国企改革;中字头股票;国企改革
43,鸿博股份,轻工制造-包装印刷-印刷,10.000,人民币升值;融资融券;转融券标的;区块链;金融IC;体育产业;互联网彩票;人工智能;世界杯;web3.0;数字经济;云计算;东数西算（算力）;AIGC概念;ChatGPT概念;数字水印;元宇宙;虚拟数字人
44,航天电子,国防军工-国防军工-航天装备,1.864,月球车;大容量通信;军民融合;融资融券;卫星导航;沪股通;航天系;航空航天;转融券标的;太赫兹;军工;集成电路概念;雷达;特高压;富时罗素概念;富时罗素概念股;MSCI概念;标普道琼斯A股;量子科技;无人机;芯片概念;太空经济;地方国企改革;央企国企改革;国企改革
45,绿田机械,机械设备-专用设备-其他专用设备,1.757,电机电控;新能源汽车;人民币贬值受益
46,行动教育,社会服务-教育-教育Ⅲ,1.703,职业教育
47,向日葵,医药生物-化学制药-化学制剂,1.679,分布式发电;生物医药;高血压药
48,南钢股份,黑色金属-钢铁-普钢,1.519,参股新三板;工业4.0;互联网钢铁;人工智能;铁矿石;涉矿;创投;可燃冰;核电;融资融券;转融券标的;一带一路;沪股通;工业互联网;C2M概念;富时罗素概念;富时罗素概念股;标普道琼斯A股;债转股(AMC概念);养老金持股
49,嘉应制药,医药生物-中药-中药Ⅲ,1.504,抗癌;中医药;融资融券;转融券标的;医保目录;医药电商;年报预增
50,永安行,交运设备-非汽车交运-其他交运设备,1.451,智能交通;共享汽车;共享单车;新能源整车;新能源汽车;物联网;燃料电池;网约车;融资融券;转融券标的;无人驾驶;芯片概念;富时罗素概念股;共享经济;蚂蚁金服概念;氢能源;两轮车;机器人概念
51,冠豪高新,轻工制造-造纸-造纸Ⅲ,1.302,高岭土概念;造纸转暖;人民币升值;融资融券;诚通系;转融券标的;纸浆;可降解塑料;烟草;氢能源;军工;地方国企改革;央企国企改革;国企改革;年报预增
52,恒源煤电,煤炭-煤炭开采加工-煤炭开采,1.244,油价上调;动力煤;融资融券;转融券标的;富时罗素概念;富时罗素概念股;标普道琼斯A股;煤炭概念;融资租赁;地方国企改革;安徽国企改革;国企改革;年报预增
53,潞安环能,煤炭-煤炭开采加工-煤炭开采,1.238,油价上调;动力煤;稀缺煤;融资融券;沪股通;转融券标的;富时罗素概念;富时罗素概念股;煤炭概念;标普道琼斯A股;MSCI概念;山西国企改革;地方国企改革;国企改革;年报预增
54,东阿阿胶,医药生物-中药-中药Ⅲ,1.230,奢侈品;老字号;电子商务;医疗改革;超级品牌;融资融券;深股通;中医药;转融券标的;央视财经50;医保目录;富时罗素概念;富时罗素概念股;标普道琼斯A股;保健品;MSCI概念;大消费;预制菜;地方国企改革;央企国企改革;国企改革;年报预增
55,博硕科技,电子-消费电子-消费电子零部件及组装,1.210,转融券标的;富士康概念;汽车电子;消费电子概念;新型烟草;专精特新;融资融券
56,上海梅林,食品饮料-食品加工制造-肉制品,1.140,老字号;牛羊肉;融资融券;转融券标的;进口博览会;富时罗素概念;富时罗素概念股;预制菜;猪肉;标普道琼斯A股;上海国企改革;地方国企改革;国企改革;大消费;年报预增
57,鸿合科技,电子-光学光电子-面板,0.882,华为概念;手势识别;云办公;在线教育;创投;人工智能;托育服务;人民币贬值受益;年报预增
58,长源东谷,交运设备-汽车零部件-汽车零部件Ⅲ,0.813,国六标准、国六排放、国六;一体化压铸;新能源汽车;汽车电子
59,航民股份,纺织服装-纺织制造-印染,0.793,涉矿;融资融券;转融券标的;黄金概念;富时罗素概念;富时罗素概念股;标普道琼斯A股;杭州亚运会;共同富裕示范区
60,东方电子,电力设备-电力设备-电气自控设备,0.750,智能表;物联网;充电桩;智能电网;智慧党建;节能环保;电力物联网;深股通;储能;数据中心;华为概念;虚拟电厂;机器人概念;融资融券;转融券标的;养老金持股;地方国企改革;山东国企改革;国企改革
61,首药控股,医药生物-化学制药-化学制剂,0.728,科创次新股;新股与次新股;融资融券;转融券标的;抗肿瘤;创新药
62,福瑞股份,医药生物-医疗器械-医疗设备,0.616,冬虫夏草;互联网医疗;医疗器械概念;创业板重组松绑;参股保险;中医药;三胎概念;家庭医生;肝炎概念;辉瑞概念;人民币贬值受益;融资融券;转融券标的
63,瑞尔特,轻工制造-家用轻工-其他家用轻工,0.527,智能家居
64,长沙银行,银行-银行-城商行,0.499,沪股通;融资融券;优先股概念;转融券标的;富时罗素概念;富时罗素概念股;标普道琼斯A股
65,奥普家居,家用电器-厨卫电器-厨卫电器Ⅲ,0.410,家用电器;精装修;华为概念;智能家居;杭州亚运会;年报预增
66,诺普信,基础化工-化学制品-农药,0.273,参股保险;登革热;农村电商;国家科技大会;乡村振兴;农村金融;互联网金融;草地贪夜蛾防治;融资融券;转融券标的;农业种植;富时罗素概念股;生态农业;草甘膦;标普道琼斯A股;数字乡村;土壤修复
67,南京证券,非银金融-证券-证券Ⅲ,0.213,融资融券;转融券标的;期货概念;富时罗素概念;富时罗素概念股;MSCI概念;标普道琼斯A股;参股基金;地方国企改革;国企改革
68,长虹美菱,家用电器-白色家电-冰洗,0.193,智能家居;电子商务;家用电器;独角兽概念;垃圾分类;冷链物流;工业互联网;参股新三板;医疗器械概念;疫苗存储;地热能;空气能热泵;小米概念;融资融券;转融券标的;地方国企改革;国企改革;血氧仪;一带一路;年报预增;人工智能;北交所概念
69,康恩贝,医药生物-中药-中药Ⅲ,0.000,抗癌;医药电商;抗肝癌;养老概念;智能医疗;融资融券;转融券标的;医保目录;中医药;医疗改革;互联网医疗;工业大麻;仿制药;富时罗素概念;富时罗素概念股;眼科医疗;MSCI概念;标普道琼斯A股;幽门螺杆菌概念;股权转让;专精特新;毛发医疗;仿制药一致性评价;创新药;地方国企改革;浙江国企改革;国企改革;蒙脱石散
70,亿晶光电,电力设备-电力设备-光伏设备,-3.499,分布式发电;新能源;融资融券;转融券标的;多晶硅;太阳能;蓝宝石;硅能源;光伏概念;TOPCON电池;绿色电力;光伏建筑一体化
71,顺鑫农业,食品饮料-饮料制造-白酒,-1.710,猪肉收储;老字号;融资融券;深股通;转融券标的;猪肉;白酒概念;富时罗素概念;富时罗素概念股;MSCI概念;标普道琼斯A股;冬奥会;地方国企改革;国企改革
72,长龄液压,机械设备-专用设备-工程机械,-1.491,高端装备;专精特新;长三角一体化;减速器
73,巴比食品,食品饮料-食品加工制造-其他食品,-1.214,大消费;电子商务;预制菜
74,中国太保,非银金融-保险及其他-保险,-1.013,央视财经50;融资融券;沪股通;转融券标的;富时罗素概念;富时罗素概念股;蚂蚁金服概念;标普道琼斯A股;MSCI概念;参股银行
75,锦盛新材,美容护理-美容护理-化妆品,-0.449,化妆护肤品;可降解塑料;人民币贬值受益
76,龙建股份,建筑装饰-建筑装饰-基础建设,-0.437,海绵城市;PPP概念;创投;黑龙江自贸区;一带一路;农村电商;新型城镇化;振兴东北;水利;基建工程;乡村振兴;地方国企改革;国企改革;旅游
77,中国汽研,交运设备-汽车服务-汽车服务Ⅲ,-0.342,有轨电车;智能汽车;尾气治理;新能源汽车;融资融券;转融券标的;无人驾驶;汽车电子;燃料电池;华为汽车;氢能源;胎压监测;沪股通;养老金持股;地方国企改革;央企国企改革;中字头股票;国企改革
78,精测电子,机械设备-仪器仪表-仪器仪表Ⅲ,-0.109,苹果概念;富士康概念;深股通;OLED设备制造;OLED;柔性屏;超清视频;融资融券;华为概念;转融券标的;芯片概念;富时罗素概念;富时罗素概念股;锂电池;小米概念;宁德时代概念;激光器;虚拟现实;中芯国际概念;激光;MiniLED;国产替代;比亚迪概念
